shapeid,x,y
0,-71.1373585,42.27122573
0,-71.13788315,42.27079774
0,-71.13744782,42.27054293
0,-71.13641216,42.26993672
0,-71.13646035,42.26990634
0,-71.13652393,42.26986626
0,-71.13738248,42.26908542
0,-71.13738769,42.26908068
0,-71.13738778,42.2690806
0,-71.13789378,42.26862039
0,-71.13819042,42.26835058
0,-71.13850157,42.26813505
0,-71.13855955,42.26809693
0,-71.13857899,42.26808415
0,-71.13872378,42.26795289
0,-71.13909362,42.2676176
0,-71.13910479,42.26760747
0,-71.13911171,42.26761265
0,-71.13911185,42.26761275
0,-71.13945928,42.26787256
0,-71.13952826,42.26792871
0,-71.13959458,42.26798659
0,-71.13965816,42.26804616
0,-71.1397189,42.26810733
0,-71.13977677,42.26817003
0,-71.13983165,42.26823417
0,-71.13986817,42.26828031
0,-71.13988265,42.26829861
0,-71.1398835,42.26829969
0,-71.13992917,42.26836225
0,-71.13993227,42.2683665
0,-71.13997788,42.26843454
0,-71.14007656,42.26860139
0,-71.14007845,42.26860457
0,-71.14010909,42.26865623
0,-71.14013914,42.26871186
0,-71.14016665,42.26876818
0,-71.14019163,42.26882517
0,-71.14021402,42.26888274
0,-71.14023382,42.26894083
0,-71.140251,42.26899938
0,-71.14026553,42.26905832
0,-71.14027739,42.26911759
0,-71.14028479,42.26916545
0,-71.14028659,42.26917712
0,-71.14030365,42.26932633
0,-71.14030891,42.26941068
0,-71.14030897,42.26941537
0,-71.14030996,42.26949511
0,-71.1403068,42.26957951
0,-71.14029942,42.26966376
0,-71.14028784,42.26974776
0,-71.14027209,42.26983138
0,-71.14018777,42.27034989
0,-71.14016689,42.27047831
0,-71.1401266,42.2707039
0,-71.14009573,42.2709303
0,-71.14006356,42.27108498
0,-71.14003219,42.27132254
0,-71.14001189,42.27156077
0,-71.14001034,42.2716451
0,-71.13999913,42.27225468
0,-71.13999132,42.27267975
0,-71.14002216,42.27370702
0,-71.14002332,42.27371944
0,-71.14005822,42.2740932
0,-71.14006622,42.27417786
0,-71.14006814,42.27419818
0,-71.14010679,42.27460096
0,-71.14010683,42.2746014
0,-71.14016836,42.27510786
0,-71.14016838,42.27510802
0,-71.14020818,42.27543555
0,-71.14037589,42.27530213
0,-71.14050044,42.27521489
0,-71.14061752,42.27511976
0,-71.14073477,42.27502475
0,-71.1406802,42.27524092
0,-71.14064646,42.27567474
0,-71.14069019,42.2760099
0,-71.14073014,42.2762829
0,-71.14077625,42.27642236
0,-71.14083917,42.27661266
0,-71.14085773,42.27666054
0,-71.14090269,42.2767765
0,-71.14094098,42.2768773
0,-71.14104406,42.27714861
0,-71.14123614,42.27749921
0,-71.1413895,42.27771397
0,-71.14152056,42.2778975
0,-71.14164873,42.27807698
0,-71.14215854,42.27862417
0,-71.1424497,42.27890361
0,-71.14259974,42.27904761
0,-71.14331605,42.27985279
0,-71.14383952,42.28040184
0,-71.14386731,42.28043099
0,-71.14395111,42.28051169
0,-71.14414456,42.28068255
0,-71.14422148,42.28075049
0,-71.14435446,42.28086793
0,-71.14443283,42.28093716
0,-71.14488673,42.28129592
0,-71.14514143,42.28149723
0,-71.14517813,42.28152624
0,-71.14521093,42.28155288
0,-71.14599234,42.28218758
0,-71.14613578,42.28231041
0,-71.14621456,42.28237788
0,-71.14650262,42.28266269
0,-71.14651074,42.28267144
0,-71.1466054,42.28277356
0,-71.14677518,42.28295672
0,-71.14702832,42.28325822
0,-71.14724375,42.28361924
0,-71.14727786,42.28367902
0,-71.14733619,42.28378125
0,-71.14738284,42.283863
0,-71.14747881,42.28411719
0,-71.14752683,42.28428039
0,-71.14760112,42.28453284
0,-71.14761346,42.28459793
0,-71.14766145,42.28484289
0,-71.14766729,42.28487693
0,-71.14767293,42.28491098
0,-71.14767837,42.28494504
0,-71.1476836,42.28497912
0,-71.14768586,42.28499427
0,-71.14769696,42.28508112
0,-71.14770301,42.28514101
0,-71.14770925,42.28520403
0,-71.14771643,42.28532498
0,-71.14771675,42.28532808
0,-71.14774074,42.28556015
0,-71.14774194,42.28557181
0,-71.14775852,42.28573225
0,-71.14775859,42.28573289
0,-71.14777612,42.28590249
0,-71.14777687,42.28590979
0,-71.14778534,42.28599177
0,-71.14777157,42.28618792
0,-71.14776455,42.28628783
0,-71.14776131,42.28633396
0,-71.14775032,42.28649052
0,-71.14774816,42.28652134
0,-71.14774108,42.28662213
0,-71.14774069,42.28662773
0,-71.14774061,42.28662884
0,-71.14773858,42.28665767
0,-71.1477385,42.28665884
0,-71.14772999,42.28678007
0,-71.14772391,42.2868666
0,-71.14772086,42.28691009
0,-71.14771011,42.28693814
0,-71.14770634,42.28695213
0,-71.14769777,42.28696472
0,-71.14768217,42.28697894
0,-71.14764586,42.28699585
0,-71.14754518,42.2870238
0,-71.14748742,42.28704256
0,-71.14747333,42.28705176
0,-71.14745478,42.28706386
0,-71.1473789,42.28715172
0,-71.14735581,42.28718293
0,-71.14734233,42.2872139
0,-71.14732757,42.28727724
0,-71.14731938,42.28729996
0,-71.14731443,42.2873137
0,-71.14729989,42.2873367
0,-71.14727315,42.28735912
0,-71.14723944,42.28737411
0,-71.14721427,42.28738034
0,-71.1471973,42.28741651
0,-71.14713952,42.28756715
0,-71.14713095,42.28756963
0,-71.1466947,42.287721
0,-71.14603628,42.28794946
0,-71.14597267,42.28797095
0,-71.14590499,42.28799383
0,-71.14579894,42.28802827
0,-71.14568831,42.28806427
0,-71.14568317,42.28806594
