user_id,question_id,question,theme,create_date,zipcode
u-P3J5lesYpk-9xtAwlNN6L,q-tHOzfuHEcK-63SPAZ7kja,Can the MBTA plan for bad weather and prep buses for it?,Resiliency,1/7/15 10:50,02136
u-4Z5l6P9DDi-Uco9CBhkYl,q-gq4GBsTAge-JO5MXokEoz, Why can't the Orange Line extend to Hyde Park?,Access,4/17/15 17:02,02136
u-ga1cxysZ7s-9h3uluUGyk,q-NVU9hu2fHT-z3ry2B79p5,What is being done to make MBTA stations safer for travelers?,Safety,1/7/15 10:50,02136
u-2dTMBlRaHK-WR3legy6ux,q-d1kuD9ccmF-E2zAXfRmNd,Can we move the trains into the sky?,Innovation-Technology,4/15/15 11:08,02136
u-OEPTeOB0SG-0qkZxGFfRt,q-MUJiC3dZKv-tMA2OKGC6e,Will the #40 bus ever run on time?  ,Reliability,3/9/15 12:04,02136
u-JvVjS9YuaN-OLNm61MIvk,q-nPTatuetrA-Am7fg1qi3i,How do we create bike paths that do not impact the how of traffic?,Innovation-Technology,3/9/15 12:55,02136
u-tBEK7fpYlm-GTklJpB1I6,q-8xjzprxdR7-L7xl7mSArA,"Could we have a public Segway program, similar to the current Hubway bike program, where folks could use Segways to get around?  Not everyone is fit enough to ride a bike, and Segways are a lot easier.",Innovation-Technology,1/22/15 10:40,02136
u-fkmnrpWsm5-BaFQVnUcjk,q-ijP3jYasXT-dcMHrNb8uf,Will there be flying cars ever?,Innovation-Technology,4/15/15 11:02,02136
u-5ZSoxJ19w1-CDOfY3e24P,q-77GmtY6GmD-Qnhq1t0z1x,Are the MBTA changing the bus since the current ones are always packed?,Experiential Quality,3/9/15 12:55,02136
u-FNFjpmVQUs-6YQc3uztwG,q-9qE2mpgt61-aU7GS3o21u,"Will all citizens need ironman like suits, to reduce transportation need?",Innovation-Technology,1/26/15 6:56,02136
u-e5KVI27qSe-IuKG3WEy3t,q-BDM5zXMsp4-1cgYCIwSqp,How should we deal with population growth and road infrastructure?,Resiliency,3/9/15 12:04,02136
