u-I7lux1Kl3k-u968Mbao5a,q-w9MGEK9WoM-iG6meLI0UP,Will the T go to Seaport?,Access,3/9/15 12:06,02127,
u-YnUAhpjQjm-Uu8TzjaMFF,q-eXSzHUiuXH-5SA3Kh9QKS,Will the T be more reliable and extend the lines?,Access,3/9/15 12:06,02127,
u-Fa5k7bzzxH-vDhUgsBc81,q-ogVEJEZvgI-GcG9TABOPM,"When will I be able to bike to work, never having to mix with vehicle traffic?  (South Station to Government Center)",Access,4/17/15 18:44,02127,
u-a96B913ALA-4eBzgeR4yB,q-qCLv9RKIes-Pygz28wQ0n,Can there be lower fees on holidays?,Affordability,1/7/15 10:50,02127,
u-XZjbPmkxPA-IgQoT80M3z,q-gmvacXj4zI-X6iv13ez32,Is transportation going to be affordable for people who have low-income salaries?,Affordability,1/7/15 10:50,02127,
u-TcUpK1OaRw-un7m8ctow4,q-5iN8IMaS2j-xyjEcTVXrO,Will public transportation ever be something that people can afford?,Affordability,1/7/15 10:50,02127,
u-g3FVyHW8qS-yPpQlLoRTP,q-WUSbXsB6mY-4rHSagcVEU,Can the MBTA change their fare system so that you pay different amounts based on how far you are taking the T? Think like the Washington DC metro system,Affordability,2/6/15 9:54,02127,
u-q528wcvyH5-BPNNKlSNb9,q-ZgqCU1s6RG-i7LL25oKRl,Can we have some kind of free transportation to hospitals and medical appointments?,Affordability,3/9/15 12:05,02127,
u-8YNtTV2tpz-T6UnRXbZW3,q-qx7AxVV5HQ-zRF90uBGeg,Why does the T keep increasing rates yet the trains keep breaking down more often?,Affordability,3/9/15 12:06,02127,
u-awvLiRUw4C-3uLVBEjXJS,q-rXPZKd5P8l-dAJG4GAqg3,When will Boston start charging for parking permits in congested neighborhoods?,Affordability,3/9/15 12:06,02127,
u-z9Hvaxo4lE-Gq4Wwu5SAG,q-h8o2PJoH7G-Lztu1zQizz,When do school students get a bus cards for free?,Affordability,4/17/15 17:02,02127,
u-PGX5Y7kRD4-IXqNNuluK0,q-riOKwz9EqF-bv2sH5F9d7,Will South Boston get more bike lanes?,Equity,2/2/15 14:25,02127,
u-PGX5Y7kRD4-IXqNNuluK0,q-QZjvtyBo5x-YBfA7e7uVh,When will the MBTA further expand train services and better bus routes to Roxbury?,Equity,2/2/15 14:26,02127,
u-S95rMKKe0h-Qso8DesewV,q-lzOZEjqVlW-Bvt4O8g9MW,"When building, are you going to consider the effect on pedestrians?  More sidewalks taken for curb cuts for garages and parking lots.  Because these cars need entrances and exits, snow is put on pedestrian ways. Are you going to take these issues into consideration when building?",Equity,2/5/15 19:05,02127,
u-8JCA2uJO5E-ZafFyhZnUh,q-U1OsBGnHul-HQvdHor50f,Why are the buses in South Boston always so crowded? ,Experiential Quality,1/7/15 10:50,02127,
u-HV2VQnv6NG-ZwR7uEYa24,q-Q3MaGlZdkl-zqnbxruIUj,"Will transportation be more efficient, faster and cleaner?",Experiential Quality,1/7/15 10:50,02127,
u-xaBeDyoHEy-RKhJVKXuMV,q-VwLNFutMpr-PZte1RqEdJ,"During large snow storms, the city focus on cleaning the streets of snow, we need to show as much attention to the city sidewalks where most of the snow plowed ends up.",Experiential Quality,1/31/15 18:14,02127,
u-NvDPTRLsM0-KLtMJZ8H38,q-l5yRfy7ma3-eJINRRNx80,"Could more one way roads, like the new plan recently implemented in South Boston, ease traffic congestion, improve snow removal, and make streets safer for bikers and pedestrians?",Experiential Quality,2/18/15 14:57,02127,
u-vAFbh5lEPh-HZRVgvrWwJ,q-aWjMZJ1UKI-uZaVYLMXsZ,"Do we want to be a city where City Hall allows people to claim public parking spaces as their own with pieces of trash, and enforce those claims through vandalism and personal violence?",Experiential Quality,2/20/15 11:23,02127,
u-mVwx9TTbLX-Z7XJgItpBa,q-0GduPtmjLc-Rmj8Y61GzG,How do we improve the bike lanes in the neighborhoods?,Experiential Quality,3/9/15 12:05,02127,
u-UwHam4Mwqm-TL4wkEYWpV,q-H6mXyUSgFw-koGFJgPDrd,Can we do something about the traffic in the snow?,Experiential Quality,3/9/15 12:06,02127,
